順位	都道府県	市区	議員報酬	人口	面積	人口密度
661	熊本県	菊池市	5,354,505	49,073	276.85	177.25
662	山梨県	山梨市	5,346,600	35,181	289.8	121.4
663	静岡県	裾野市	5,343,000	52,001	138.12	376.49
664	奈良県	宇陀市	5,341,875	30,439	247.5	122.99
665	兵庫県	丹波市	5,339,400	64,691	493.21	131.16
666	秋田県	男鹿市	5,334,580	27,625	241.09	114.58
667	三重県	鳥羽市	5,326,500	18,868	107.34	175.78
668	長崎県	南島原市	5,324,400	46,131	170.11	271.18
669	北海道	富良野市	5,306,425	21,907	600.71	36.47
670	新潟県	燕市	5,301,076	79,804	110.96	719.21
671	栃木県	さくら市	5,291,325	44,233	125.63	352.09
672	福岡県	宮若市	5,286,600	28,145	139.99	201.05
673	佐賀県	鹿島市	5,275,530	29,351	112.12	261.78
674	岐阜県	瑞穂市	5,272,190	54,675	28.19	1,939.52
675	福島県	本宮市	5,266,800	30,591	88.02	347.55
676	山梨県	韮崎市	5,261,760	29,751	143.69	207.05
677	岐阜県	郡上市	5,252,950	41,942	1,030.75	40.69
678	福岡県	嘉麻市	5,250,840	38,367	135.11	283.97
679	福岡県	うきは市	5,231,325	29,763	117.46	253.39
679	福岡県	豊前市	5,231,325	25,631	111.01	230.89
681	茨城県	つくばみらい市	5,228,145	51,630	79.16	652.22
682	長野県	駒ヶ根市	5,223,970	32,828	165.86	197.93
683	北海道	深川市	5,214,650	20,803	529.42	39.29
684	滋賀県	栗東市	5,214,510	69,515	52.69	1,319.32
685	山口県	柳井市	5,206,500	32,031	140.05	228.71
686	島根県	雲南市	5,199,620	38,479	553.18	69.56
687	高知県	土佐市	5,171,550	27,158	91.5	296.81
688	長崎県	平戸市	5,167,915	31,530	235.1	134.11
689	長崎県	五島市	5,152,062	37,088	420.12	88.28
690	山口県	萩市	5,145,600	47,625	698.31	68.2
691	大分県	由布市	5,136,450	34,762	319.32	108.86
692	島根県	大田市	5,130,500	34,914	435.71	80.13
693	長崎県	対馬市	5,126,400	31,010	707.42	43.84
694	岩手県	滝沢市	5,120,885	55,288	182.46	303.01
695	愛媛県	西予市	5,120,358	38,019	514.34	73.92
696	岐阜県	本巣市	5,118,000	34,412	374.65	91.85
696	千葉県	白井市	5,118,000	63,723	35.48	1,796.03
698	長崎県	松浦市	5,104,505	22,986	130.55	176.07
699	北海道	留萌市	5,099,500	21,312	297.84	71.56
699	北海道	名寄市	5,099,500	27,569	535.2	51.51
699	北海道	士別市	5,099,500	18,965	1,119.22	16.94
702	岡山県	新見市	5,098,500	29,624	793.29	37.34
703	鹿児島県	奄美市	5,088,652	43,316	308.33	140.49
704	山口県	長門市	5,088,000	34,305	357.31	96.01
705	青森県	黒石市	5,082,264	33,499	217.05	154.34
706	長野県	東御市	5,073,760	30,259	112.37	269.28
707	大分県	国東市	5,072,800	28,176	318.1	88.58
707	岩手県	宮古市	5,072,800	52,973	1,259.15	42.07
707	岩手県	大船渡市	5,072,800	36,655	322.51	113.66
710	兵庫県	養父市	5,066,950	23,723	422.91	56.09
711	三重県	尾鷲市	5,065,380	17,924	192.71	93.01
712	岡山県	美作市	5,054,400	27,812	429.29	64.79
713	千葉県	富里市	5,049,000	50,201	53.88	931.72
714	静岡県	伊豆の国市	4,997,250	48,860	94.62	516.38
715	徳島県	美馬市	4,975,425	29,432	367.14	80.17
715	徳島県	三好市	4,975,425	26,235	721.42	36.37
717	長崎県	西海市	4,966,200	27,982	241.6	115.82
718	千葉県	大網白里市	4,962,750	49,620	58.08	854.34
719	宮崎県	小林市	4,961,832	45,990	562.95	81.69
719	新潟県	五泉市	4,961,832	50,387	351.91	143.18
721	高知県	安芸市	4,957,312	17,737	317.21	55.92
722	岐阜県	海津市	4,948,020	34,680	112.03	309.56
723	長野県	中野市	4,945,247	44,683	112.18	398.32
724	長野県	大町市	4,940,240	27,668	565.15	48.96
725	宮崎県	日南市	4,930,128	53,584	536.11	99.95
726	北海道	北斗市	4,928,250	46,487	397.44	116.97
727	岩手県	釜石市	4,925,838	33,842	440.34	76.85
728	滋賀県	高島市	4,914,275	48,963	693.05	70.65
729	島根県	江津市	4,906,860	23,664	268.24	88.22
730	北海道	芦別市	4,905,000	13,635	865.04	15.76
731	千葉県	勝浦市	4,896,720	17,605	93.96	187.37
732	佐賀県	神埼市	4,896,450	31,773	125.13	253.92
732	佐賀県	嬉野市	4,896,450	26,288	126.41	207.96
734	高知県	宿毛市	4,884,862	20,574	286.2	71.89
735	熊本県	水俣市	4,865,132	24,705	163.29	151.3
736	宮崎県	串間市	4,862,350	18,631	295.17	63.12
737	秋田県	仙北市	4,856,280	26,422	1,093.56	24.16
738	新潟県	小千谷市	4,835,012	35,777	155.19	230.54
738	愛媛県	伊予市	4,835,012	37,265	194.44	191.65
740	静岡県	菊川市	4,828,500	48,275	94.19	512.53
741	宮崎県	えびの市	4,819,160	19,612	282.93	69.32
742	熊本県	上天草市	4,815,190	27,310	126.94	215.14
743	岐阜県	山県市	4,808,500	27,356	221.98	123.24
744	鹿児島県	出水市	4,803,308	53,673	329.98	162.66
744	鹿児島県	姶良市	4,803,308	77,411	231.25	334.75
746	新潟県	南魚沼市	4,799,938	57,030	584.55	97.56
747	静岡県	御前崎市	4,790,250	32,733	65.56	499.28
748	山口県	美祢市	4,788,000	24,571	472.64	51.99
748	福岡県	那珂川市	4,788,000	50,411	74.95	672.6
750	岩手県	久慈市	4,785,885	35,199	623.5	56.45
751	大分県	津久見市	4,785,625	17,656	79.5	222.09
752	長崎県	壱岐市	4,755,750	26,820	139.42	192.37
752	新潟県	十日町市	4,755,750	53,107	590.39	89.95
752	岩手県	陸前高田市	4,755,750	19,201	231.94	82.78
752	岩手県	八幡平市	4,755,750	25,876	862.3	30.01
752	新潟県	魚沼市	4,755,750	36,368	946.76	38.41
752	新潟県	糸魚川市	4,755,750	42,992	746.24	57.61
752	滋賀県	野洲市	4,755,750	51,091	80.14	637.52
752	滋賀県	米原市	4,755,750	39,295	250.39	156.94
760	岩手県	遠野市	4,752,725	27,161	825.97	32.88
761	島根県	益田市	4,746,740	46,871	733.19	63.93
762	愛媛県	八幡浜市	4,739,898	33,850	132.65	255.18
763	岡山県	真庭市	4,738,500	45,676	828.53	55.13
764	秋田県	北秋田市	4,726,678	32,216	1,152.76	27.95
765	鹿児島県	日置市	4,722,705	48,711	253.01	192.53
766	愛媛県	東温市	4,708,192	33,591	211.3	158.97
767	高知県	四万十市	4,700,630	34,002	632.29	53.78
768	茨城県	桜川市	4,676,280	42,126	180.06	233.96
769	北海道	赤平市	4,671,800	10,186	129.88	78.43
770	新潟県	見附市	4,660,635	40,565	77.91	520.66
771	鹿児島県	南さつま市	4,659,525	34,379	283.59	121.23
772	岐阜県	下呂市	4,621,725	32,573	851.21	38.27
773	鹿児島県	曽於市	4,608,638	35,862	390.14	91.92
774	埼玉県	白岡市	4,596,480	52,497	24.92	2,106.62
775	岐阜県	飛騨市	4,590,675	24,269	792.53	30.62
776	岩手県	二戸市	4,590,250	27,087	420.42	64.43
777	鹿児島県	志布志市	4,567,105	31,507	290.28	108.54
778	山梨県	中央市	4,563,875	30,812	31.69	972.29
779	北海道	三笠市	4,561,650	8,562	302.52	28.3
780	高知県	香南市	4,547,200	33,368	126.46	263.86
781	鹿児島県	指宿市	4,533,815	41,003	148.84	275.48
782	静岡県	下田市	4,513,850	21,748	104.38	208.35
783	山梨県	北杜市	4,485,600	47,108	602.48	78.19
784	新潟県	加茂市	4,484,430	27,270	133.72	203.93
785	新潟県	妙高市	4,471,024	32,502	445.63	72.93
786	青森県	平川市	4,451,040	31,458	346.01	90.92
787	高知県	香美市	4,444,219	26,319	537.86	48.93
788	北海道	歌志内市	4,441,500	3,275	55.95	58.53
789	鹿児島県	南九州市	4,438,720	35,415	357.91	98.95
790	茨城県	鉾田市	4,438,700	49,742	207.6	239.61
791	高知県	須崎市	4,436,025	22,026	135.34	162.75
792	鹿児島県	いちき串木野市	4,406,080	28,097	112.29	250.22
793	宮城県	富谷市	4,391,010	52,569	49.18	1,068.91
794	静岡県	牧之原市	4,373,325	45,990	111.69	411.76
795	鹿児島県	枕崎市	4,343,625	21,447	74.78	286.8
795	新潟県	胎内市	4,343,625	29,366	264.89	110.86
797	新潟県	村上市	4,312,035	60,339	1,174.26	51.38
